Employee ID;EmployeeStatus;PayZone;Performance Score;Engagement Score;Satisfaction Score;Age
3427;Active;Zone C;Fully Meets;1;2;50
3428;Active;Zone A;Fully Meets;2;1;58
3429;Active;Zone B;Fully Meets;1;2;27
3430;Active;Zone A;Fully Meets;5;5;23
3431;Active;Zone A;Fully Meets;2;5;50
3432;Active;Zone B;Fully Meets;2;3;71
3433;Active;Zone B;Exceeds;1;5;80
3434;Active;Zone C;Fully Meets;1;4;63
3435;Active;Zone B;Exceeds;4;3;44
3436;Active;Zone B;Fully Meets;5;5;73
3437;Active;Zone B;Fully Meets;3;2;59
3438;Active;Zone C;Fully Meets;4;2;70
3439;Active;Zone A;Fully Meets;1;2;41
3440;Active;Zone A;Fully Meets;1;4;68
3441;Active;Zone A;Exceeds;4;2;30
3442;Active;Zone A;Exceeds;2;5;67
3443;Active;Zone C;Fully Meets;2;2;27
3444;Active;Zone A;Fully Meets;1;2;38
3445;Active;Zone C;Exceeds;4;5;36
3446;Active;Zone A;Exceeds;4;3;25
3450;Active;Zone C;Exceeds;4;3;26
3451;Active;Zone C;Exceeds;5;1;53
3452;Active;Zone A;Fully Meets;5;5;75
3453;Active;Zone C;Fully Meets;5;5;40
3454;Active;Zone C;Needs Improvement;4;4;52
3455;Active;Zone C;Exceeds;2;1;22
3456;Active;Zone A;Fully Meets;4;3;77
3457;Active;Zone B;Needs Improvement;5;1;73
3460;Active;Zone A;Fully Meets;4;3;76
3462;Active;Zone A;Needs Improvement;3;3;76
3463;Active;Zone A;Fully Meets;4;3;69
3464;Active;Zone B;Needs Improvement;2;5;20
3465;Active;Zone B;Needs Improvement;5;4;59
3466;Active;Zone C;Exceeds;1;3;43
3467;Active;Zone A;Exceeds;4;3;33
3468;Active;Zone B;Fully Meets;3;1;21
3471;Active;Zone C;Fully Meets;2;4;53
3472;Active;Zone C;Exceeds;5;5;41
3473;Active;Zone A;Exceeds;3;4;73
3474;Active;Zone A;Fully Meets;3;1;55
3475;Active;Zone C;Fully Meets;4;3;64
3476;Active;Zone A;Needs Improvement;5;5;78
3477;Active;Zone A;Needs Improvement;1;2;50
3478;Active;Zone C;Fully Meets;3;4;61
