"id,Age,Gender,Education_Level,Marital_Status,Income,Credit_Score,Loan_Amount,Loan_Purpose,Employment_Status,Years_at_Current_Job,Payment_History,Debt_to_Income_Ratio,Assets_Value,Number_of_Dependents,City,State,Country,Previous_Defaults,Marital_Status_Change,Risk_Rating,Created_At,Cleaned_Income,Updated_DTI,Education_Ordinal_Rank,Default_Flag"
"1,49,Male,PhD,Divorced,72799.00,688,45713.00,BUSINESS,Unemployed,19,POOR,0.154313,120228.00,0,""Port Elizabeth"",AS,Cyprus,2,2,Low,""2026-04-23 19:13:45"",72799.000000,0.6279,4,1"
"2,57,Female,Bachelor's,Widowed,0.00,690,33835.00,AUTO,Employed,6,FAIR,0.14892,55849.00,0,""North Catherine"",OH,Turkmenistan,3,2,Medium,""2026-04-23 19:13:45"",69652.443967,0.4858,2,1"
"4,59,Male,Bachelor's,Single,26508.00,622,26541.00,PERSONAL,Unemployed,2,EXCELLENT,0.454964,157319.00,3,Robinhaven,PR,Uganda,4,2,Medium,""2026-04-23 19:13:45"",26508.000000,1.0012,2,1"
"6,30,Non-binary,PhD,Divorced,0.00,717,15613.00,BUSINESS,Unemployed,5,FAIR,0.295984,159939.17,4,Brianland,TN,Iceland,3,1,Medium,""2026-04-23 19:13:45"",70442.604895,0.2216,4,1"
"7,31,Non-binary,Master's,Widowed,45280.00,672,6553.00,PERSONAL,Self-employed,1,GOOD,0.37889,159939.17,0,""West Lindaview"",MD,""Bouvet Island (Bouvetoya)"",0,1,Low,""2026-04-23 19:13:45"",45280.000000,0.1447,3,0"
"9,32,Non-binary,Bachelor's,Widowed,20205.00,710,0.00,AUTO,Unemployed,4,FAIR,0.335965,227599.00,0,""North Beverly"",DC,""Pitcairn Islands"",4,2,Low,""2026-04-23 19:13:45"",20205.000000,0.0000,2,1"
"10,55,Male,Bachelor's,Married,32190.00,600,29918.00,PERSONAL,Self-employed,5,EXCELLENT,0.484333,130507.00,4,Davidstad,VT,Thailand,0,2,Low,""2026-04-23 19:13:45"",32190.000000,0.9294,2,0"
"11,42,Non-binary,Master's,Single,116212.00,707,24771.00,HOME,Employed,11,EXCELLENT,0.114134,212198.00,3,Matthewborough,NH,""French Guiana"",0,2,Medium,""2026-04-23 19:13:45"",116212.000000,0.2132,3,0"
"12,37,Non-binary,Master's,Divorced,78855.00,718,0.00,HOME,Self-employed,17,POOR,0.193921,272522.00,0,Orrstad,OH,""Antarctica (the territory South of 60 deg S)"",3,2,Low,""2026-04-23 19:13:45"",78855.000000,0.0000,3,1"
"13,60,Female,PhD,Divorced,0.00,686,15497.00,PERSONAL,Self-employed,18,POOR,0.328175,47603.00,4,""West Kelseymouth"",NM,Eritrea,2,2,High,""2026-04-23 19:13:45"",70442.604895,0.2200,4,1"
"14,68,Male,""High School"",Divorced,79454.00,688,43365.00,PERSONAL,Self-employed,15,GOOD,0.329282,61967.00,0,Dakotafurt,IA,Grenada,3,0,Medium,""2026-04-23 19:13:45"",79454.000000,0.5458,1,1"
"16,68,Female,PhD,Divorced,0.00,701.157,42951.00,AUTO,Self-employed,6,FAIR,0.550746,67070.00,4,""East Kristin"",MH,Guadeloupe,2,2,Low,""2026-04-23 19:13:45"",70442.604895,0.6097,4,1"
"17,55,Male,""High School"",Married,70978.00,706,36970.00,PERSONAL,Unemployed,19,EXCELLENT,0.266941,54041.00,3,Christophermouth,MO,Tonga,1,0,Medium,""2026-04-23 19:13:45"",70978.000000,0.5209,1,1"
"19,60,Non-binary,Bachelor's,Divorced,0.00,738,37001.00,BUSINESS,Employed,7,FAIR,0.338971,53055.00,0,Johnsonstad,MS,Malawi,1,2,Low,""2026-04-23 19:13:45"",69652.443967,0.5312,2,1"
"20,56,Non-binary,PhD,Married,21084.00,702,22039.00,PERSONAL,Employed,19,FAIR,0.231046,226053.00,2,""East James"",MP,""Isle of Man"",0,2,Medium,""2026-04-23 19:13:45"",21084.000000,1.0453,4,0"
"23,37,Non-binary,PhD,Single,0.00,664,34904.00,AUTO,Self-employed,12,EXCELLENT,0.106281,152686.00,0,""Lake Timothy"",PR,Zambia,3,0,Medium,""2026-04-23 19:13:45"",70442.604895,0.4955,4,1"
"24,64,Non-binary,Bachelor's,Divorced,118318.00,702,41029.00,BUSINESS,Unemployed,10,POOR,0.228351,159939.17,1,""West Meghanshire"",KS,Oman,3,1,Low,""2026-04-23 19:13:45"",118318.000000,0.3468,2,1"
"25,55,Female,""High School"",Divorced,61811.00,641,43859.00,AUTO,Self-employed,18,EXCELLENT,0.199707,185670.00,0,Aprilland,NH,Uruguay,0,0,Low,""2026-04-23 19:13:45"",61811.000000,0.7096,1,0"
"26,41,Male,PhD,Single,94796.00,742,0.00,BUSINESS,Unemployed,16,GOOD,0.355808,129119.00,2,Brittanyton,VI,Gambia,3,0,Low,""2026-04-23 19:13:45"",94796.000000,0.0000,4,1"
"27,36,Non-binary,PhD,Single,85355.00,667,18834.00,AUTO,Employed,8,POOR,0.198898,159939.17,4,Michaelborough,CO,Iran,2,2,Medium,""2026-04-23 19:13:45"",85355.000000,0.2207,4,1"
"28,41,Male,PhD,Married,93133.00,791,14052.00,BUSINESS,Employed,13,POOR,0.28285,82774.00,0,Lewisland,AZ,""South Georgia and the South Sandwich Islands"",1,0,Low,""2026-04-23 19:13:45"",93133.000000,0.1509,4,1"
"29,64,Female,PhD,Married,0.00,749,38635.00,PERSONAL,Self-employed,16,FAIR,0.32023,159939.17,3,""West James"",OR,Palau,0,1,Low,""2026-04-23 19:13:45"",70442.604895,0.5485,4,0"
"30,64,Male,PhD,Married,0.00,636,21086.00,AUTO,Employed,13,FAIR,0.460985,261445.00,0,""South Ryan"",IA,Tokelau,4,2,Low,""2026-04-23 19:13:45"",70442.604895,0.2993,4,1"
"31,34,Male,PhD,Married,115201.00,701.157,21315.00,PERSONAL,Unemployed,10,POOR,0.243943,81794.00,1,Marchaven,VA,""Saint Pierre and Miquelon"",1,2,Medium,""2026-04-23 19:13:45"",115201.000000,0.1850,4,1"
"32,49,Non-binary,""High School"",Divorced,109882.00,697.601,35938.00,HOME,Unemployed,3,EXCELLENT,0.489438,237388.00,0,Pattersonshire,GA,Hungary,2,0,Low,""2026-04-23 19:13:45"",109882.000000,0.3271,1,1"
"33,48,Non-binary,PhD,Married,46408.00,632,48403.00,PERSONAL,Unemployed,16,EXCELLENT,0.185325,93647.00,3,""South Jason"",KS,Guyana,1,0,Low,""2026-04-23 19:13:45"",46408.000000,1.0430,4,1"
"34,69,Non-binary,PhD,Single,38065.00,701.157,15818.00,BUSINESS,Self-employed,8,POOR,0.391979,107451.00,3,""South Peterbury"",ID,""Cote d'Ivoire"",0,1,Low,""2026-04-23 19:13:45"",38065.000000,0.4156,4,0"
